project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2009198,LTGran_13R V3,LTGran_13R,31.5491,-25.071,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135183,V3,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_9R 13,LTGran_9R,31.5944,-25.1124,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134999,13,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_3R CA13,LTSabie_3R,31.721,-24.9518,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135188,CA13,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_9R BL2330852991Y,LTSabie_9R,31.6212,-24.987,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135209,BL2330852991Y,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_10R B20,LTGran_10R,31.5649,-25.1186,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135001,B20,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_3R X22,LTSabie_3R,31.721,-24.9518,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135189,X22,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_2 CA11,LTGran_2,31.5942,-25.0555,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134968,CA11,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_2R X15,LTSabie_2R,31.7319,-24.9558,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135185,X15,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_4 S13,LTGran_4,31.6028,-25.0836,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134989,S13,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_1 V4,LTGran_1,31.5892,-25.0466,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134980,V4,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_12R CA6,LTSabie_12R,31.7267,-24.956791,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135260,CA6,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_11R X7,LTSabie_11R,31.6848,-24.9652,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135259,X7,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_2 S14,LTGran_2,31.5942,-25.0555,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,None,,2134974,S14,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_9R X3,LTSabie_9R,31.6212,-24.987,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135206,X3,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_8R BL2333852991Y,LTSabie_8R,31.6105,-24.9906,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135191,BL2333852991Y,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_10R CA7,LTSabie_10R,31.656,-24.9759,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135255,CA7,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_9R O12,LTGran_9R,31.5944,-25.1124,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135000,O12,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_13R C4,LTSabie_13R,31.7495,-24.9682,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135261,C4,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_13R S10,LTGran_13R,31.5491,-25.071,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135263,S10,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_10R 26A,LTSabie_10R,31.656,-24.9759,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135244,26A,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_3R,LTSabie_3R,31.721,-24.9518,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135189,X22,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_4 X35,LTGran_4,31.6028,-25.0836,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134990,X35,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_7 X20,LTGran_7,31.594,-25.1022,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134992,X20,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_8R S5,LTSabie_8R,31.6105,-24.9906,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135192,S5,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_11R V6,LTSabie_11R,31.6848,-24.9652,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135257,V6,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_10R CA10,LTGran_10R,31.5649,-25.1186,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135007,CA10,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_1 CA14,LTGran_1,31.5892,-25.0466,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134976,CA14,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_11R X24,LTGran_11R,31.5469,-25.1025,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135038,X24,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_2R CA2,LTSabie_2R,31.7319,-24.9558,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135184,CA2,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_11R CA8,LTGran_11R,31.5469,-25.1025,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135008,CA8,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_13R S9,LTGran_13R,31.5491,-25.071,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2135039,S9,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTGran_7 SD4,LTGran_7,31.594,-25.1022,2025-02-21 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134991,SD4,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,
2009198,LTSabie_12R 11D,LTSabie_12R,31.7267,-24.956791,2025-02-08 00:00:00,2025-03-12 00:00:00,None,,Trail game,,2134803, 11100258003225HDX,10,Camera Functioning,Knee height,,Varies,,,,,,,,,,,